2M08505430+1155152,132.72626,11.92091,16.323,0.069,15.852,0.001,15.033,0.007,99.999,9.999,14.095,0.004,17.027,0.005,15.422,0.001,14.792,0.001,14.540,0.001,14.418,0.002,13.447,0.023,12.968,0.023,12.885,0.029,12.814,0.025,12.815,0.030,12.781,0.031,99.999,9.999,99.999,9.999,99.999,9.999,34.780,0.090,-0.300,1.550,-1.190,1.780,-1,BM
2M08511628+1144328,132.81786,11.74246,99.999,9.999,99.999,9.999,13.491,0.058,99.999,9.999,12.784,0.072,14.913,0.006,13.986,0.009,14.370,0.017,14.511,0.015,13.156,0.006,12.308,0.021,12.021,0.020,11.954,0.020,11.908,0.016,11.887,0.022,11.855,0.018,11.905,0.015,99.999,9.999,99.999,9.999,35.620,0.090,99.999,9.999,99.999,9.999,-1,BN
2M08511774+1150055,132.82393,11.83488,14.120,0.022,14.082,0.014,13.511,0.008,99.999,9.999,12.820,0.012,14.936,0.007,13.717,0.002,99.999,9.999,13.269,0.012,13.211,0.005,12.393,0.022,12.135,0.023,12.101,0.020,12.009,0.015,11.978,0.024,11.985,0.019,12.015,0.014,99.999,9.999,99.999,9.999,33.460,0.090,99.999,9.999,99.999,9.999,-1,BM
2M08505653+1138081,132.73555,11.63560,99.999,9.999,14.682,0.012,14.042,0.007,99.999,9.999,13.353,0.007,15.979,0.002,14.949,0.001,15.338,0.001,14.293,0.001,14.076,0.001,12.974,0.023,12.680,0.023,12.640,0.021,12.608,0.023,12.626,0.028,12.578,0.033,99.999,9.999,99.999,9.999,99.999,9.999,33.930,0.090,-4.640,3.630,4.280,6.490,-1,SM
2M08511523+1158377,132.81348,11.97715,99.999,9.999,14.385,0.008,13.872,0.004,99.999,9.999,13.250,0.012,15.142,0.007,14.055,0.009,13.750,0.009,13.736,0.012,13.629,0.010,12.880,0.023,12.622,0.022,12.538,0.022,12.520,0.015,12.459,0.020,12.478,0.020,12.492,0.017,99.999,9.999,99.999,9.999,2.060,0.090,9.220,1.550,-10.120,2.920,-1,SN
2M08511505+1149211,132.81273,11.82253,14.881,0.071,14.753,0.008,14.144,0.008,99.999,9.999,13.470,0.005,15.645,0.006,14.369,0.004,13.981,0.004,13.844,0.012,13.828,0.008,13.012,0.022,12.692,0.022,12.642,0.024,12.602,0.015,12.615,0.020,12.580,0.018,12.593,0.016,99.999,9.999,99.999,9.999,32.340,0.090,0.650,1.250,-2.800,1.960,-1,SM
2M08512194+1153089,132.84143,11.88581,99.999,9.999,16.070,0.006,15.275,0.003,99.999,9.999,14.424,0.004,17.334,0.008,15.650,0.005,15.042,0.005,14.829,0.007,14.759,0.005,13.849,0.011,13.501,0.011,13.364,0.013,13.309,0.019,13.332,0.021,13.322,0.030,13.323,0.029,99.999,9.999,99.999,9.999,34.470,0.090,1.780,0.710,0.590,1.840,-1,SM
2M08510647+1141338,132.77698,11.69274,99.999,9.999,20.030,0.060,18.375,0.032,99.999,9.999,16.411,0.043,99.999,9.999,19.329,0.007,17.937,0.004,17.074,0.003,16.610,0.005,15.369,0.014,14.714,0.011,14.418,0.018,14.279,0.017,14.285,0.035,14.184,0.038,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,0.590,1.960,-1.010,3.810,73,U
2M08505561+1200442,132.73174,12.01228,99.999,9.999,16.271,0.010,15.442,0.007,99.999,9.999,14.547,0.000,17.633,0.007,15.845,0.001,15.192,0.001,14.999,0.001,14.904,0.002,13.945,0.013,13.576,0.008,13.467,0.015,13.414,0.025,99.999,9.999,13.449,0.041,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,-1.310,1.780,0.360,0.420,97,U
2M08514632+1200553,132.94302,12.01538,99.999,9.999,15.509,0.003,14.857,0.001,99.999,9.999,14.109,0.001,16.424,0.004,15.152,0.001,14.701,0.001,14.522,0.001,14.459,0.002,13.627,0.024,13.296,0.027,13.216,0.030,13.180,0.026,13.162,0.033,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,125.350,0.090,-2.680,2.620,6.900,3.870,-1,SN
