Name,ID,GaiaDR3,inrt,Prob,RA_ICRS,DE_ICRS,RA_ICRS,DE_ICRS
"NGC_2168",4511,3425514045248751360,1,0.6268672,92.5053519,24.22862388,92.50535190097,24.22862387998
"NGC_2168",4511,3425514255703294720,1,0.66425777,92.41130443,24.19603227,92.41130442893,24.19603227386
"NGC_2168",4511,3425514358781283328,1,0.61738181,92.43924326,24.21451179,92.43924326353,24.21451179211
"NGC_2168",4511,3425514427501983488,1,0.59643066,92.44266322,24.22579792,92.4426632188,24.22579791644
"NGC_2168",4511,3425514530579986432,1,1.0,92.38522659,24.2201229,92.3852265876,24.22012289571
"NGC_2168",4511,3425514564940393344,1,1.0,92.39835536,24.22338378,92.39835536281,24.22338377985
"NGC_2168",4511,3425514874177343360,0,0.43321225,92.48532146,24.23903542,92.48532146167,24.23903541741
"NGC_2168",4511,3425515110401080448,1,0.96500587,92.44322109,24.26257341,92.4432210946,24.2625734111
"NGC_2168",4511,3425515213480279296,1,0.58202733,92.45402674,24.28054529,92.45402674449,24.28054528879
"NGC_2168",4511,3425515595732179456,1,0.51066741,92.80432655,24.01586343,92.80432655013,24.01586343082
"NGC_2168",4511,3425518000913809792,1,0.60478944,92.90107737,24.12950094,92.90107736784,24.12950093633
"NGC_2168",4511,3425524048227401088,1,0.64476418,92.80478949,24.28853741,92.80478948762,24.28853740777
"NGC_2168",4511,3425527862158640128,1,0.58899131,93.0195105,24.3181768,93.01951050343,24.31817680251
"NGC_2168",4511,3425530542217918720,1,0.57533928,92.89507026,24.34792849,92.89507025943,24.34792848901
"NGC_2168",4511,3425531847887961216,1,0.52408955,92.93525207,24.36118672,92.93525206976,24.36118672341
"NGC_2168",4511,3425532187191036416,1,0.55537108,92.94544611,24.39638687,92.94544611111,24.39638686828
"NGC_2168",4511,3425532981759447680,1,0.68368857,92.6327523,24.16797942,92.63275230058,24.1679794231
"NGC_2168",4511,3425533119198390400,1,0.74919663,92.65940702,24.18935898,92.65940701572,24.18935898486
"NGC_2168",4511,3425533290997088128,1,0.73624699,92.63123059,24.18642373,92.63123058694,24.18642372828
"NGC_2168",4511,3425533565874974208,1,0.50466681,92.70984227,24.20206481,92.70984226806,24.20206480634
"NGC_2168",4511,3425534562307393664,1,0.59613721,92.64290433,24.23549577,92.64290433467,24.23549576662
"NGC_2168",4511,3425535799257924608,1,0.71060772,92.79418063,24.29344155,92.79418063351,24.29344155218
"NGC_2168",4511,3425536177215079936,1,0.75345235,92.68204593,24.26913405,92.68204592607,24.26913405058
"NGC_2168",4511,3425536344719375360,1,0.66182575,92.71622091,24.28889653,92.71622091349,24.28889652572
