Name,ID,GaiaDR3,inrt,Prob,RA_ICRS,DE_ICRS,RA_ICRS,DE_ICRS
"Melotte_25",4424,49124190961270656,0,0.48054781,65.41026272,20.30260722,65.41026272327,20.30260722477
"Melotte_25",4424,49157794785448192,1,0.75267542,65.67911799,20.56998136,65.67911798706,20.56998136359
"Melotte_25",4424,49231668222673920,1,0.88546913,65.38237015,21.03971713,65.38237014651,21.03971713387
"Melotte_25",4424,49365087086285184,1,0.64311561,63.92734123,20.81964122,63.92734123437,20.81964121824
"Melotte_25",4424,49448512531551616,0,0.47300015,65.12288816,21.37854595,65.12288815971,21.37854594964
"Melotte_25",4424,49510566218944768,0,0.35598854,64.5971407,21.57914659,64.59714069539,21.57914659027
"Melotte_25",4424,49520255665123328,1,0.76677365,64.87462538,21.75371096,64.87462537982,21.753710964
"Melotte_25",4424,49968306654050944,1,0.61403626,58.98887226,18.43214639,58.98887225769,18.43214639123
"Melotte_25",4424,50298125783225088,1,0.60382628,61.35753569,19.44200665,61.35753568749,19.44200665088
"Melotte_25",4424,50327297200978176,1,0.54923286,60.91324438,19.45486431,60.91324437951,19.45486430706
"Melotte_25",4424,50427387118457984,1,0.51778433,60.06551762,19.40999978,60.06551761889,19.4099997792
"Melotte_25",4424,50756415973201152,0,0.25839642,57.27308196,18.83772335,57.27308195699,18.83772334741
"Melotte_25",4424,50756411675761920,0,0.26649147,57.2756656,18.83656157,57.27566560451,18.83656156638
"Melotte_25",4424,51383893515451392,1,0.56618373,59.80698463,20.42804406,59.80698463009,20.42804405661
"Melotte_25",4424,51902691204229888,0,0.35288099,61.76434253,20.28059824,61.76434252937,20.28059823754
"Melotte_25",4424,51995909173956352,1,0.5248367,63.01466902,20.8311403,63.01466901828,20.83114030283
"Melotte_25",4424,52040233236358784,0,0.26429242,62.64103643,20.86079154,62.64103643042,20.86079154177
"Melotte_25",4424,52548241968465408,1,0.5736622,64.13999162,21.90729683,64.13999161938,21.90729683162
"Melotte_25",4424,52798209065854848,1,0.59773254,63.19791279,22.39066714,63.19791278752,22.39066713837
"Melotte_25",4424,52813464789648256,0,0.36281496,63.62719025,22.45172481,63.62719024638,22.45172480761
"Melotte_25",4424,53257461329357312,0,0.48378642,59.80982758,22.0436615,59.80982758359,22.04366150395
"Melotte_25",4424,53725750202606208,1,0.55686355,62.16788239,23.5571262,62.16788238864,23.55712619669
"Melotte_25",4424,53825771402706304,0,0.48896306,61.58813697,23.42404803,61.58813697349,23.42404803494
"Melotte_25",4424,53942250914697472,0,0.49909328,62.15145861,23.76841875,62.15145861479,23.76841875065
"Melotte_25",4424,56447037184877824,0,0.36602193,54.39205181,17.8499985,54.39205181371,17.84999849974
"Melotte_25",4424,56447041481918720,0,0.41020944,54.38973926,17.85390743,54.389739255,17.85390743242
"Melotte_25",4424,57406365376348928,0,0.41794642,54.78058965,20.42390954,54.78058964534,20.42390953865
"Melotte_25",4424,57890528450770560,0,0.29232296,52.63083565,20.09842483,52.6308356469,20.09842482899
"Melotte_25",4424,60096629810337024,0,0.26757291,46.39928987,19.56850173,46.39928986635,19.56850173333
"Melotte_25",4424,64552022725337856,0,0.3890477,53.54488888,22.07239341,53.54488887836,22.07239341106
"Melotte_25",4424,65103668325506560,0,0.43212115,55.40452857,23.34352626,55.40452856678,23.34352626218
"Melotte_25",4424,65502206932420224,1,0.50392035,59.86151989,23.38525106,59.86151989101,23.3852510555
"Melotte_25",4424,66286704180780672,0,0.3609416,59.72781584,25.2196021,59.72781584026,25.21960209665
"Melotte_25",4424,66482352830035840,0,0.4101134,57.76372087,23.90343718,57.76372086866,23.90343718252
"Melotte_25",4424,66556672943906432,0,0.40459837,57.43105394,24.31770804,57.43105393746,24.3177080376
"Melotte_25",4424,67351757289092224,0,0.31915709,58.17156507,25.80420858,58.17156507412,25.80420858082
"Melotte_25",4424,67696694700442624,0,0.43212115,54.13100333,22.78228664,54.13100332615,22.78228663689
"Melotte_25",4424,68001499939741440,0,0.35372267,53.20944929,23.69201167,53.20944929038,23.69201167495
"Melotte_25",4424,70298895126196864,0,0.30640001,55.89881698,26.35839861,55.89881697747,26.35839860697
"Melotte_25",4424,110348743606461312,0,0.27803801,47.98613115,22.30213399,47.98613115458,22.30213399357
"Melotte_25",4424,110475771559046912,0,0.27099055,47.69399439,23.14754387,47.69399439443,23.14754387133
"Melotte_25",4424,117654650480415744,0,0.27388124,50.61835268,27.15576675,50.61835267537,27.1557667506
"Melotte_25",4424,118234509720825856,0,0.31696783,49.34619037,26.31481157,49.34619036503,26.31481157485
"Melotte_25",4424,125343573948444800,0,0.2733147,48.26261673,32.8961738,48.26261672917,32.89617379772
"Melotte_25",4424,125343608307015296,0,0.25405209,48.26597664,32.89703251,48.26597663877,32.89703250878
"Melotte_25",4424,140340019198719232,0,0.26688285,44.17299861,35.37599071,44.17299860878,35.37599070842
"Melotte_25",4424,144130516816579200,1,0.50120866,67.57532737,19.84041406,67.5753273692,19.84041406013
"Melotte_25",4424,144171233106399104,1,0.7298003,67.81589658,20.1329946,67.81589657872,20.13299459879
"Melotte_25",4424,144377803854541184,1,0.66241314,68.40543499,21.15064523,68.40543499042,21.15064523403
"Melotte_25",4424,144534724778235392,1,0.74280509,66.6989688,21.23471643,66.69896880208,21.23471643479
"Melotte_25",4424,144663157183364864,1,0.68349793,67.40635911,21.66843692,67.40635910633,21.66843692212
"Melotte_25",4424,145218857232329472,1,0.66323117,69.15895812,23.04174943,69.15895811625,23.04174942608
"Melotte_25",4424,145264388183013760,0,0.37134717,65.79785382,21.05876947,65.79785381872,21.05876947037
"Melotte_25",4424,145293181643038336,1,0.77632522,66.57757082,21.47026212,66.57757082392,21.47026212317
"Melotte_25",4424,145325548516513280,1,0.70478724,65.84351592,21.37892943,65.84351591714,21.37892942768
"Melotte_25",4424,145373377272257664,1,0.73975777,66.06128543,21.73604225,66.06128542554,21.73604224563
"Melotte_25",4424,145391484855481344,1,0.65420374,67.00372586,21.61971567,67.00372585557,21.6197156716
"Melotte_25",4424,145484634106814592,1,0.6686912,66.35476961,22.19979147,66.35476960697,22.19979147131
