source_id,Sdss_mag_u,Sdss_mag_g,Sdss_mag_r,Sdss_mag_i,Sdss_mag_z,Sdss_flux_u,Sdss_flux_g,Sdss_flux_r,Sdss_flux_i,Sdss_flux_z,Sdss_flux_error_u,Sdss_flux_error_g,Sdss_flux_error_r,Sdss_flux_error_i,Sdss_flux_error_z,Jkc_mag_U,Jkc_mag_B,Jkc_mag_V,Jkc_mag_R,Jkc_mag_I,Jkc_flux_U,Jkc_flux_B,Jkc_flux_V,Jkc_flux_R,Jkc_flux_I,Jkc_flux_error_U,Jkc_flux_error_B,Jkc_flux_error_V,Jkc_flux_error_R,Jkc_flux_error_I,Sdss_mag_u_err,Sdss_mag_g_err,Sdss_mag_r_err,Sdss_mag_i_err,Sdss_mag_z_err,Jkc_mag_U_err,Jkc_mag_B_err,Jkc_mag_V_err,Jkc_mag_R_err,Jkc_mag_I_err,2Mass Name,Wise_Id_x,Wise_Id_y,ra,dec,J_mag,J_err,H_mag,H_err,K_mag,K_err,B1_mag,B1_err,B2_mag,B2_err,B3_mag,B3_err,B4_mag,B4_err
6.049170452394685e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08513904+1147553,J085139.07+114755.5,J085139.05+114755.3,132.9127274,11.7986987,12.501,0.021,12.199,0.022,12.146,0.023,12.089,0.009,12.145,0.02,11.686,,8.072,
6.049482782414252e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08513940+1200570,J085139.40+120057.1,J085139.41+120057.1,132.9142243,12.015871,13.337,0.021,13.022,0.027,12.952,0.026,12.903,0.011,12.925,0.022,11.697,,7.923,
6.049197897228003e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08514007+1152433,J085140.06+115243.3,J085140.07+115243.3,132.9169621,11.8787088,12.666,0.02,12.386,0.022,12.35,0.023,12.286,0.011,12.401,0.033,11.482,,8.228,
6.049169765199892e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08514149+1147361,J085141.48+114736.1,J085141.49+114736.1,132.9228829,11.7933734,12.912,0.023,12.601,0.028,12.531,0.023,12.494,0.008,12.595,0.035,12.054,,8.473,
6.049245313666861e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08514278+1159309,J085142.78+115931.0,J085142.79+115931.0,132.9283045,11.9919603,12.887,0.021,12.569,0.025,12.504,0.023,12.455,0.009,12.506,0.027,11.689,,7.896,
6.049481064427274e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08514366+1200549,J085143.66+120055.0,J085143.67+120055.0,132.9319745,12.0152973,12.382,0.021,12.068,0.023,12.01,0.021,11.918,0.007,11.969,0.013,11.709,0.321,8.478,
6.048972883899288e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08514493+1138589,J085144.92+113858.8,J085144.92+113858.9,132.9371909,11.6497026,12.492,0.023,12.245,0.023,12.181,0.021,12.101,0.008,12.172,0.016,11.794,0.378,8.251,
6.04948102147206e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08514632+1200553,J085146.32+120055.4,J085146.32+120055.4,132.943041,12.0154162,13.627,0.024,13.296,0.027,13.216,0.03,13.18,0.014,13.226,0.032,11.89,,8.447,
6.049044695752246e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08514740+1144423,J085147.39+114442.3,J085147.39+114442.3,132.9474897,11.7451073,13.416,0.023,13.067,0.025,13.004,0.029,12.87,0.01,12.899,0.047,11.448,,8.211,
6.049041560418746e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08514847+1142228,J085148.46+114222.8,J085148.46+114222.8,132.9519399,11.7063486,12.878,0.022,12.593,0.023,12.54,0.023,12.481,0.01,12.539,0.021,11.483,,8.229,
